"sample"	"read_file"	"Human"	"Mouse"	"Rat"	"Drosophila"	"Worm"	"Yeast"	"Arabidopsis"	"Ecoli"	"rRNA"	"MT"	"PhiX"	"Lambda"	"Vectors"	"Adapters"
"SRR3140907"	"1"	0.0792174906742246	0.070971541911872	0.101312404665656	0.0567903223370569	0.0403185614393661	0.992111476367151	0.0902422939645495	0.00000503415675357299	0.0698791298963467	0.03675941261459	0	0	0.000729952729268084	0
"SRR3140907"	"2"	0.0717115629546473	0.0679158087624532	0.0886817053709418	0.0511319301460409	0.0244760701358719	0.96946783928958	0.0771081789944775	0	0.0674929395951531	0.0353196437830681	0	0	0.000518518145618018	0
"SRR3180781"	"1"	0.00392532165119397	0.00379225990030604	0.00537876539166215	0.00223646096684715	0.00318324650201128	0.997410413617335	0.0054862383443024	0.0000204710385981433	0.00183727571418336	0.0000153532789486075	0	0	0.00313206890551592	0
"SRR3180781"	"2"	0.00394579268979212	0.00365919814941811	0.00489257822495624	0.00197545522472083	0.00225181424579576	0.995537313585605	0.00400208804593701	0	0.00244628911247812	0.0000102355192990716	0.00000511775964953582	0	0.00156603445275796	0
"SRR3407195"	"1"	0.00267486688990998	0.00236583870755295	0.00354115900766491	0.0016109993768776	0.00166672577041739	0.993353361061436	0.00305481957313583	0.000607924293161358	0.00113985804967755	0.000015198107329034	0.00109426372769044	0	0.00651492200837922	0
"SRR3407195"	"2"	0.00212266899028841	0.0019858860243271	0.00308521578779389	0.00101827319104528	0.0010891976919141	0.978038734909546	0.00233544249289488	0.000633254472043082	0.0011347920139012	0	0.00103347129837431	0	0.00401230033486496	0
"SRR4018567"	"1"	0.00284700714003372	0.00265687309553235	0.00317723995416769	0.00148104413611596	0.00150105824606347	0.981782156420276	0.00380268089002747	0.0122386282329042	0.000540380968582851	0.0000300211649212695	0.00129591361910147	0	0.00274693659029616	0.00000500352748687825
"SRR4018567"	"2"	0.00214651329187077	0.00221656267668706	0.00263685898558484	0.00100570902486253	0.00111578662957385	0.977919433200406	0.0022315732591477	0.0124087481674581	0.000635447990833538	0.0000100070549737565	0.00122586423428517	0	0.00215151681935765	0
"SRR5000465"	"1"	0.00287184336131411	0.00206209418237966	0.00278634189521544	0.00130263998350325	0.00102098809517822	0.991480030378168	0.0019916812102984	0.0000905309641044727	0.00068401172878935	0.0000100589960116081	0.00368662203825436	0	0.00308811177556368	0
"SRR5000465"	"2"	0.0023638640627279	0.00191120924220554	0.00255498498694845	0.0009958406051492	0.000940516127085356	0.984413585680013	0.0016194983578689	0.0000653834740754525	0.000819808174946059	0.00000502949800580404	0.00358603207813828	0	0.00180056028607785	0
"SRR5245224"	"1"	0.0313777953450189	0.0264775485590639	0.0535783963473652	0.0206347517191404	0.0111991162326376	0.961421324941597	0.037448628488322	0.000486477447209596	0.0249674414833508	0.0263711316174868	0.000283778510872264	0	0.0135656263143759	0.000106416941577099
"SRR5245224"	"2"	0.0223475577311908	0.0178729787115442	0.0391107597662881	0.0142243978574722	0.00643569122871028	0.924332487065274	0.0307747660094154	0.00032431829813973	0.016677054987154	0.0251600054728713	0.000233103776787931	0	0.012151801233423	0
"SRR5309371"	"1"	0.0436018460247535	0.0406492552968324	0.0524596182085169	0.034078036500944	0.0279788126704426	0.984303545206629	0.0443517935808685	0.000026221942521502	0.018208516886931	0.0000471994965387036	0.000776169498636459	0	0.0198080553807426	0.0000314663310258024
"SRR5309371"	"2"	0.0333228445563247	0.0313771764212293	0.041131739039228	0.0233165512901196	0.0183763373190686	0.979976924690581	0.0341514579400042	0.0000157331655129012	0.0154027690371303	0.0000157331655129012	0.000723725613593455	0	0.0115533878749738	0
"SRR539261"	"1"	0.0424584138059934	0.0428529894295267	0.122702635349822	0.097808028575582	0.0319969679978402	0.979928561045002	0.035605258239362	0	0.001007206196914	0.00116815151703944	0	0	0.0366020808672357	0.000124602828484207
"SRR539261"	"2"	0.026540402467136	0.0267844163395842	0.0343280792473989	0.0237887566714431	0.0187371503333126	0.970557389986086	0.022127385624987	0	0.000700890910223662	0.000368616700932445	0	0	0.0231138246838203	0.000124602828484207
"SRR5417301"	"1"	0.00428226650434634	0.00398325537686081	0.0050191153542214	0.002749834475983	0.00224792294056086	0.942119988893872	0.00414877939386173	0.0000106789688387689	0.00284060571111254	0.00290467952414515	0.000763546271971978	0	0.00275517396040238	0
"SRR5417301"	"2"	0.00421819269131373	0.00393520001708635	0.00527007112193247	0.0028512846799513	0.00202366459494671	0.943972789987399	0.00403665022105465	0.0000160184532581534	0.00267508169411162	0.00295807436833899	0.000763546271971978	0	0.00284060571111254	0
"SRR5468230"	"1"	0.00350969689451267	0.00325125087871645	0.00411962949179175	0.00226398709837489	0.00223814249679527	0.956420832816441	0.00312202787081834	0.00000516892031592441	0.00186081131373279	0.0000206756812636976	0	0	0.011149361121449	0
